cod_divipola,municipio,departamento,tipo,lon,lat
17541,PENSILVANIA,CALDAS,Municipio,-75.160299,5.383281
17614,RIOSUCIO,CALDAS,Municipio,-75.702104,5.423673
17616,RISARALDA,CALDAS,Municipio,-75.76722,5.164509
17653,SALAMINA,CALDAS,Municipio,-75.487223,5.403025
17662,SAMANÁ,CALDAS,Municipio,-74.992263,5.41308
17665,SAN JOSÉ,CALDAS,Municipio,-75.792063,5.08231
17777,SUPÍA,CALDAS,Municipio,-75.64966,5.446843
17867,VICTORIA,CALDAS,Municipio,-74.911239,5.317437
17873,VILLAMARÍA,CALDAS,Municipio,-75.502487,5.038925
17877,VITERBO,CALDAS,Municipio,-75.87061,5.062664
18001,FLORENCIA,CAQUETÁ,Municipio,-75.609831,1.618196
18029,ALBANIA,CAQUETÁ,Municipio,-75.878375,1.328526
18094,BELÉN DE LOS ANDAQUÍES,CAQUETÁ,Municipio,-75.872405,1.415812
18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,Municipio,-74.847867,1.332371
18205,CURILLO,CAQUETÁ,Municipio,-75.919205,1.033473
18247,EL DONCELLO,CAQUETÁ,Municipio,-75.283631,1.679951
18256,EL PAUJÍL,CAQUETÁ,Municipio,-75.326093,1.570226
18410,LA MONTAÑITA,CAQUETÁ,Municipio,-75.436408,1.479173
18460,MILÁN,CAQUETÁ,Municipio,-75.506926,1.29021
18479,MORELIA,CAQUETÁ,Municipio,-75.724146,1.486611
18592,PUERTO RICO,CAQUETÁ,Municipio,-75.157604,1.909063
18610,SAN JOSÉ DEL FRAGUA,CAQUETÁ,Municipio,-75.973796,1.330266
18753,SAN VICENTE DEL CAGUÁN,CAQUETÁ,Municipio,-74.767894,2.119413
18756,SOLANO,CAQUETÁ,Municipio,-75.253702,0.699077
18785,SOLITA,CAQUETÁ,Municipio,-75.619902,0.87654
18860,VALPARAÍSO,CAQUETÁ,Municipio,-75.70671,1.194619
19001,POPAYÁN,CAUCA,Municipio,-76.599377,2.459641
19022,ALMAGUER,CAUCA,Municipio,-76.85607,1.913429
19050,ARGELIA,CAUCA,Municipio,-77.24905,2.257427
19075,BALBOA,CAUCA,Municipio,-77.215773,2.040998
19100,BOLÍVAR,CAUCA,Municipio,-76.966215,1.837538
19110,BUENOS AIRES,CAUCA,Municipio,-76.642238,3.015382
19130,CAJIBÍO,CAUCA,Municipio,-76.570682,2.623371
19137,CALDONO,CAUCA,Municipio,-76.484319,2.798059
19142,CALOTO,CAUCA,Municipio,-76.408941,3.034531
19212,CORINTO,CAUCA,Municipio,-76.261866,3.173854
19256,EL TAMBO,CAUCA,Municipio,-76.810911,2.451409
19290,FLORENCIA,CAUCA,Municipio,-77.072547,1.682535
19300,GUACHENÉ,CAUCA,Municipio,-76.392189,3.134153
19318,GUAPI,CAUCA,Municipio,-77.88797,2.571337
19355,INZÁ,CAUCA,Municipio,-76.063503,2.549183
19364,JAMBALÓ,CAUCA,Municipio,-76.323877,2.777834
19392,LA SIERRA,CAUCA,Municipio,-76.763278,2.179383
19397,LA VEGA,CAUCA,Municipio,-76.778771,2.001803
19418,LÓPEZ DE MICAY,CAUCA,Municipio,-77.247803,2.846788
